                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.3496,                 1.1946,                0.95233,                 1.5937,                 1.7955,                0.93189,                0.82418,                0.38838,                0.58391,                0.29231,                 1.7062,                 1.4287,                 0.9841,                 1.7523,                 2.0625,                0.98659,              0.0099535,              0.0099535,              0.0099535
                     50,                 1.3196,                 1.2387,                0.96883,                 1.6016,                 1.9192,                0.94333,                      1,                0.21424,                0.47771,                0.27233,                 1.8125,                 2.1078,                0.95977,                 1.8603,                 2.8537,                0.95118,              0.0099525,              0.0099525,              0.0099525
                     51,                 1.3386,                 1.2609,                 0.9486,                 1.5963,                 1.9054,                 0.9305,                0.85082,                0.30167,                0.47019,                0.21747,                 1.8518,                  1.728,                 1.0298,                 1.8819,                 2.4609,                  1.029,              0.0099515,              0.0099515,              0.0099515
                     52,                 1.2724,                  1.171,                0.97389,                 1.5004,                 1.8568,                0.95613,                0.87617,                0.22146,                0.42469,                0.18241,                 1.9258,                 1.8573,                 1.0452,                 2.1098,                 2.6222,                 1.0575,              0.0099505,              0.0099505,              0.0099505
                     53,                 1.3474,                 1.2007,                0.92061,                 1.7376,                 1.8154,                0.90812,                0.82007,                 0.2334,                 0.3879,                0.18004,                 1.9971,                 1.9691,                 1.0373,                  1.946,                 2.4896,                 1.0379,              0.0099495,              0.0099495,              0.0099495
                     54,                 1.3232,                 1.0938,                0.94296,                 1.6341,                 1.7591,                0.92996,                0.86073,                0.16779,                0.31831,                0.13742,                 2.0367,                 2.7032,                 1.0445,                 1.9817,                 3.1604,                 1.0739,              0.0099485,              0.0099485,              0.0099485
                     55,                   1.43,                 1.2186,                0.97306,                 1.7669,                 1.8957,                0.95334,                0.65682,                0.55127,                0.69358,                 0.2922,                 1.9794,                 1.8807,                 1.0652,                 1.8478,                 2.4699,                  1.017,              0.0099475,              0.0099475,              0.0099475
                     56,                 1.3633,                 1.1841,                0.96475,                 1.6404,                  1.752,                0.94634,                0.89686,                0.01852,                0.09425,                0.04635,                 2.2236,                 3.6349,                  1.096,                 2.1383,                 4.0082,                 1.0835,              0.0099465,              0.0099465,              0.0099465
                     57,                 1.4149,                  1.179,                0.98424,                 1.6343,                  1.755,                0.95449,                0.80418,                0.28307,                0.51945,                 0.2562,                 1.7262,                 2.0362,                0.96375,                 1.9098,                 2.7056,                0.97855,              0.0099456,              0.0099456,              0.0099456
                     58,                 1.2921,                 1.0697,                0.97355,                 1.4654,                 1.5676,                0.96408,                0.01967,                0.30952,                0.15805,                0.09724,                 1.9345,                 3.4088,                 1.0434,                 2.0851,                 3.6548,                 1.0665,              0.0099446,              0.0099446,              0.0099446
