                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.3811,                 1.0029,                0.93509,                 1.6266,                 1.5676,                0.91719,                0.69368,                0.39623,                0.52092,                0.21904,                 2.1352,                 2.0595,                0.91407,                 2.2818,                 2.2834,                0.90344,               0.001416,               0.001416,               0.001416
                     49,                 1.2838,                 1.0892,                0.99431,                 1.5952,                 2.0546,                0.97619,                 0.5796,                0.48042,                0.57197,                0.24567,                 2.2005,                 1.9142,                0.89426,                  2.242,                 1.9859,                0.89123,              0.0014157,              0.0014157,              0.0014157
                     50,                 1.2704,                 1.0963,                0.88808,                 1.4564,                  1.724,                 0.8729,                0.58338,                0.51852,                0.58292,                0.25575,                  2.082,                 1.7478,                0.90835,                 2.2867,                 1.7501,                0.88166,              0.0014154,              0.0014154,              0.0014154
                     51,                 1.1969,                0.95577,                0.94638,                 1.3598,                 1.6463,                0.90578,                0.64554,                0.52377,                0.57808,                0.23653,                 2.0508,                   1.69,                0.91325,                 2.3783,                  1.779,                0.88538,              0.0014151,              0.0014151,              0.0014151
                     52,                 1.2151,                0.98308,                0.90477,                 1.5052,                  1.625,                0.89104,                0.57297,                0.45671,                0.55292,                0.23302,                 2.1429,                  1.846,                0.89794,                 2.2959,                 1.9137,                0.88987,              0.0014149,              0.0014149,              0.0014149
                     53,                 1.2565,                0.97424,                0.93183,                 1.4894,                 1.5825,                0.90441,                0.58164,                0.38419,                0.55172,                0.23082,                 2.0716,                 1.8438,                0.88889,                 2.1758,                 1.9237,                0.88633,              0.0014146,              0.0014146,              0.0014146
                     54,                 1.2782,                0.93497,                0.92859,                 1.5094,                 1.3756,                0.91711,                0.53028,                 0.5183,                0.54316,                0.18376,                 2.3579,                 1.8159,                0.92747,                 2.3671,                 1.9054,                0.91744,              0.0014143,              0.0014143,              0.0014143
                     55,                 1.2088,                0.93778,                0.87788,                 1.4318,                 1.3569,                 0.8619,                0.51098,                0.40061,                0.52136,                0.18492,                 2.4539,                 1.9619,                0.93679,                 2.3215,                 2.0074,                0.90516,               0.001414,               0.001414,               0.001414
                     56,                 1.2453,                0.97582,                0.93994,                 1.3587,                 1.3918,                0.91587,                0.53029,                 0.4063,                0.57014,                0.21287,                 2.2694,                 2.0726,                0.89556,                 2.0181,                 2.0787,                0.87609,              0.0014137,              0.0014137,              0.0014137
                     57,                 1.2981,                0.99244,                0.92063,                 1.4497,                 1.4071,                0.89169,                0.49603,                0.47238,                0.56895,                0.25489,                 2.0206,                 1.9248,                0.88063,                 1.9157,                 1.8221,                0.86204,              0.0014134,              0.0014134,              0.0014134
